t,volts
0.0,0.0
4e-07,0.0
8e-07,0.0
1.2e-06,0.0
1.6e-06,-0.002
2e-06,0.0
2.4e-06,0.0
2.8e-06,0.0
3.2e-06,-0.002
3.6e-06,-0.002
4e-06,0.0
4.4e-06,-0.002
4.8e-06,-0.004
5.199999999999999e-06,-0.004
5.6e-06,0.0
6e-06,-0.002
6.4e-06,-0.002
6.799999999999999e-06,-0.004
7.2e-06,-0.006
7.6e-06,-0.006
8e-06,-0.002
8.4e-06,-0.004
8.8e-06,-0.004
9.2e-06,-0.006
9.6e-06,-0.004
9.999999999999999e-06,-0.004
1.0399999999999999e-05,-0.004
1.08e-05,-0.006
1.12e-05,-0.008
1.1599999999999999e-05,-0.008
1.2e-05,-0.008
1.24e-05,-0.008
1.28e-05,-0.006
1.3199999999999999e-05,-0.008
1.3599999999999999e-05,-0.006
1.4e-05,-0.01
1.44e-05,-0.01
1.4799999999999999e-05,-0.008
1.52e-05,-0.004
1.56e-05,-0.008
1.6e-05,-0.008
1.64e-05,-0.006
1.68e-05,-0.012
1.7199999999999998e-05,-0.012
1.76e-05,-0.01
1.8e-05,-0.01
1.84e-05,-0.008
1.88e-05,-0.01
1.92e-05,-0.012
1.96e-05,-0.012
1.9999999999999998e-05,-0.014
2.0399999999999998e-05,-0.012
2.0799999999999997e-05,-0.012
2.12e-05,-0.012
2.16e-05,-0.014
2.2e-05,-0.012
2.24e-05,-0.014
2.28e-05,-0.012
2.3199999999999998e-05,-0.014
2.3599999999999998e-05,-0.014
2.4e-05,-0.016
2.44e-05,-0.014
2.48e-05,-0.012
2.52e-05,-0.016
2.56e-05,-0.012
2.6e-05,-0.012
2.6399999999999998e-05,-0.016
2.6799999999999998e-05,-0.018000000000000002
2.7199999999999997e-05,-0.016
2.76e-05,-0.016
2.8e-05,-0.016
2.84e-05,-0.018000000000000002
2.88e-05,-0.016
2.9199999999999998e-05,-0.018000000000000002
2.9599999999999998e-05,-0.018000000000000002
2.9999999999999997e-05,-0.018000000000000002
3.04e-05,-0.016
3.0799999999999996e-05,-0.016
3.12e-05,-0.018000000000000002
3.1599999999999996e-05,-0.018000000000000002
3.2e-05,-0.018000000000000002
3.24e-05,-0.018000000000000002
3.28e-05,-0.018000000000000002
3.32e-05,-0.022
3.36e-05,-0.018000000000000002
3.4e-05,-0.02
3.4399999999999996e-05,-0.02
3.48e-05,-0.018000000000000002
3.52e-05,-0.02
3.56e-05,-0.018000000000000002
3.6e-05,-0.022
3.64e-05,-0.022
3.68e-05,-0.022
3.7199999999999996e-05,-0.022
3.76e-05,-0.022
3.7999999999999995e-05,-0.022
3.84e-05,-0.022
3.88e-05,-0.024
3.92e-05,-0.02
3.96e-05,-0.022
3.9999999999999996e-05,-0.026000000000000002
4.04e-05,-0.024
4.0799999999999996e-05,-0.024
4.12e-05,-0.024
4.1599999999999995e-05,-0.026000000000000002
4.2e-05,-0.024
4.24e-05,-0.024
4.28e-05,-0.024
4.32e-05,-0.026000000000000002
4.3599999999999996e-05,-0.024
4.4e-05,-0.026000000000000002
4.4399999999999995e-05,-0.026000000000000002
4.48e-05,-0.028
4.52e-05,-0.024
4.56e-05,-0.026000000000000002
4.6e-05,-0.026000000000000002
4.6399999999999996e-05,-0.028
4.68e-05,-0.028
4.7199999999999995e-05,-0.026000000000000002
4.76e-05,-0.03
4.8e-05,-0.03
4.84e-05,-0.026000000000000002
4.88e-05,-0.026000000000000002
4.9199999999999997e-05,-0.03
4.96e-05,-0.028
4.9999999999999996e-05,-0.028
5.04e-05,-0.028
5.0799999999999995e-05,-0.026000000000000002
5.12e-05,-0.028
5.16e-05,-0.032
5.2e-05,-0.028
5.24e-05,-0.026000000000000002
5.2799999999999996e-05,-0.03
5.32e-05,-0.03
5.3599999999999995e-05,-0.03
5.4e-05,-0.03
5.4399999999999994e-05,-0.03
5.48e-05,-0.03
5.52e-05,-0.032
5.5599999999999996e-05,-0.03
5.6e-05,-0.03
5.6399999999999995e-05,-0.032
5.68e-05,-0.032
5.7199999999999994e-05,-0.034
5.76e-05,-0.032
5.8e-05,-0.034
5.8399999999999997e-05,-0.03
5.88e-05,-0.034
5.9199999999999996e-05,-0.032
5.96e-05,-0.034
5.9999999999999995e-05,-0.036000000000000004
6.04e-05,-0.036000000000000004
6.08e-05,-0.034
6.12e-05,-0.034
6.159999999999999e-05,-0.034
6.2e-05,-0.034
6.24e-05,-0.032
6.28e-05,-0.038
6.319999999999999e-05,-0.036000000000000004
6.36e-05,-0.038
6.4e-05,-0.034
6.44e-05,-0.036000000000000004
6.48e-05,-0.038
6.52e-05,-0.038
6.56e-05,-0.036000000000000004
6.599999999999999e-05,-0.038
6.64e-05,-0.038
6.68e-05,-0.038
6.72e-05,-0.04
6.76e-05,-0.038
6.8e-05,-0.04
6.84e-05,-0.04
6.879999999999999e-05,-0.038
6.92e-05,-0.04
6.96e-05,-0.04
7e-05,-0.042
7.04e-05,-0.042
7.08e-05,-0.04
7.12e-05,-0.04
7.159999999999999e-05,-0.042
7.2e-05,-0.04
7.24e-05,-0.04
7.28e-05,-0.044
7.319999999999999e-05,-0.042
7.36e-05,-0.044
7.4e-05,-0.044
7.439999999999999e-05,-0.04
7.48e-05,-0.044
7.52e-05,-0.042
7.56e-05,-0.044
7.599999999999999e-05,-0.044
7.64e-05,-0.044
7.68e-05,-0.044
7.719999999999999e-05,-0.044
7.76e-05,-0.044
7.8e-05,-0.044
7.84e-05,-0.042
7.879999999999999e-05,-0.046
7.92e-05,-0.038
7.96e-05,-0.044
7.999999999999999e-05,-0.046
8.04e-05,-0.046
8.08e-05,-0.046
8.12e-05,-0.05
8.159999999999999e-05,-0.044
8.2e-05,-0.048
8.24e-05,-0.046
8.28e-05,-0.046
8.319999999999999e-05,-0.05
8.36e-05,-0.046
8.4e-05,-0.046
8.439999999999999e-05,-0.05
8.48e-05,-0.048
8.52e-05,-0.048
8.56e-05,-0.048
8.599999999999999e-05,-0.052000000000000005
8.64e-05,-0.05
8.68e-05,-0.05
8.719999999999999e-05,-0.05
8.76e-05,-0.05
8.8e-05,-0.046
8.84e-05,-0.05
8.879999999999999e-05,-0.048
8.92e-05,-0.048
8.96e-05,-0.05
8.999999999999999e-05,-0.05
9.04e-05,-0.05
9.08e-05,-0.05
9.12e-05,-0.052000000000000005
9.159999999999999e-05,-0.052000000000000005
9.2e-05,-0.05
9.24e-05,-0.052000000000000005
9.279999999999999e-05,-0.054
9.32e-05,-0.052000000000000005
9.36e-05,-0.056
9.4e-05,-0.052000000000000005
9.439999999999999e-05,-0.054
9.48e-05,-0.054
9.52e-05,-0.054
9.559999999999999e-05,-0.054
9.6e-05,-0.054
9.64e-05,-0.052000000000000005
9.68e-05,-0.054
9.719999999999999e-05,-0.054
9.76e-05,-0.052000000000000005
9.8e-05,-0.056
9.839999999999999e-05,-0.056
9.879999999999999e-05,-0.054
9.92e-05,-0.056
9.96e-05,-0.058
9.999999999999999e-05,-0.056
0.0001004,-0.056
0.0001008,-0.058
0.0001012,-0.054
0.00010159999999999999,-0.056
0.000102,-0.058
0.0001024,-0.056
0.00010279999999999999,-0.056
0.0001032,-0.058
0.0001036,-0.056
0.000104,-0.058
0.00010439999999999999,-0.058
0.0001048,-0.056
0.0001052,-0.06
0.00010559999999999999,-0.06
0.000106,-0.058
0.0001064,-0.058
0.0001068,-0.058
0.00010719999999999999,-0.06
0.0001076,-0.058
0.000108,-0.062
0.00010839999999999999,-0.058
0.00010879999999999999,-0.06
0.0001092,-0.062
0.0001096,-0.06
0.00010999999999999999,-0.06
0.0001104,-0.062
0.0001108,-0.056
0.00011119999999999999,-0.064
0.00011159999999999999,-0.06
0.000112,-0.06
0.0001124,-0.06
0.00011279999999999999,-0.06
0.0001132,-0.062
0.0001136,-0.06
0.00011399999999999999,-0.062
0.00011439999999999999,-0.064
0.0001148,-0.062
0.0001152,-0.062
0.00011559999999999999,-0.062
0.000116,-0.062
0.0001164,-0.062
0.00011679999999999999,-0.064
0.00011719999999999999,-0.066
0.0001176,-0.062
0.000118,-0.064
0.00011839999999999999,-0.062
0.0001188,-0.062
0.0001192,-0.066
0.0001196,-0.062
0.00011999999999999999,-0.064
0.0001204,-0.066
0.0001208,-0.068
0.00012119999999999999,-0.064
0.0001216,-0.066
0.000122,-0.064
0.0001224,-0.066
0.0001228,-0.068
0.00012319999999999999,-0.068
0.0001236,-0.064
0.000124,-0.066
0.0001244,-0.066
0.0001248,-0.066
0.0001252,-0.066
0.0001256,-0.068
0.000126,-0.068
0.00012639999999999998,-0.064
0.0001268,-0.068
0.0001272,-0.064
0.00012759999999999998,-0.07
0.000128,-0.068
0.0001284,-0.07
0.0001288,-0.068
0.0001292,-0.07
0.0001296,-0.07
0.00013,-0.068
0.0001304,-0.07
0.00013079999999999998,-0.07
0.0001312,-0.068
0.0001316,-0.07
0.00013199999999999998,-0.068
0.0001324,-0.07
0.0001328,-0.07200000000000001
0.00013319999999999999,-0.07200000000000001
0.0001336,-0.07
0.000134,-0.07
0.0001344,-0.07
0.0001348,-0.07200000000000001
0.0001352,-0.07
0.0001356,-0.074
0.000136,-0.07
0.00013639999999999998,-0.074
0.0001368,-0.07
0.0001372,-0.07200000000000001
0.00013759999999999998,-0.07200000000000001
0.000138,-0.074
0.0001384,-0.074
0.00013879999999999999,-0.074
0.0001392,-0.07200000000000001
0.0001396,-0.074
0.00014,-0.07200000000000001
0.0001404,-0.07200000000000001
0.0001408,-0.07200000000000001
0.0001412,-0.074
0.0001416,-0.07200000000000001
0.00014199999999999998,-0.078
0.0001424,-0.076
0.0001428,-0.074
0.00014319999999999998,-0.07200000000000001
0.0001436,-0.074
0.000144,-0.076
0.00014439999999999999,-0.074
0.0001448,-0.074
0.0001452,-0.076
0.0001456,-0.078
0.000146,-0.076
0.00014639999999999998,-0.078
0.0001468,-0.076
0.0001472,-0.078
0.00014759999999999998,-0.076
0.000148,-0.076
0.0001484,-0.078
0.00014879999999999998,-0.076
0.0001492,-0.078
0.0001496,-0.078
0.00015,-0.076
0.0001504,-0.076
0.0001508,-0.076
0.0001512,-0.076
0.0001516,-0.076
0.00015199999999999998,-0.078
0.0001524,-0.078
0.0001528,-0.08
0.00015319999999999998,-0.076
0.0001536,-0.08
0.000154,-0.078
0.00015439999999999999,-0.078
0.0001548,-0.076
0.0001552,-0.08
0.0001556,-0.08
0.000156,-0.08
0.00015639999999999998,-0.078
0.0001568,-0.076
0.0001572,-0.078
0.00015759999999999998,-0.078
0.000158,-0.08
0.0001584,-0.08
0.00015879999999999998,-0.08
0.0001592,-0.08
0.0001596,-0.08
0.00015999999999999999,-0.08
0.0001604,-0.082
0.0001608,-0.082
0.0001612,-0.078
0.0001616,-0.082
0.00016199999999999998,-0.082
0.0001624,-0.08
0.0001628,-0.082
0.00016319999999999998,-0.082
0.0001636,-0.082
0.000164,-0.082
0.00016439999999999998,-0.082
0.0001648,-0.082
0.0001652,-0.084
0.0001656,-0.082
0.000166,-0.084
0.00016639999999999998,-0.082
0.0001668,-0.082
0.0001672,-0.082
0.00016759999999999998,-0.084
