amp_vpp,calibration,thd_mean,thd_min,thd_max,thd_1k,vrms_mean,vrms_1k
0.2,raw,0.8114,0.0774,0.9913,0.9398,0.8508,0.8849
0.2,gold,0.8249,0.0799,1.0849,0.8853,0.8440,0.8775
0.3,raw,0.5538,0.0765,0.6509,0.5765,1.2896,1.3412
0.3,gold,0.5618,0.0879,0.6738,0.6207,1.2789,1.3315
0.4,raw,0.3852,0.0744,0.6101,0.3774,1.7151,1.7842
0.4,gold,0.3811,0.0785,0.5327,0.3583,1.7009,1.7714
0.5,raw,0.3415,0.0836,0.5375,0.3364,2.1567,2.2434
0.5,gold,0.3419,0.0923,0.5799,0.2991,2.1386,2.2277
0.6,raw,0.3151,0.0880,0.4576,0.3025,2.5765,2.6803
0.6,gold,0.3220,0.0793,0.4559,0.2900,2.5515,2.6583
0.7,raw,4.0720,0.0978,5.1558,5.0096,2.9631,3.0646
0.7,gold,4.0466,0.0853,5.1526,4.9934,2.9366,3.0421
0.8,raw,7.8048,0.0823,9.3157,9.1660,3.2655,3.3660
0.8,gold,7.7600,0.0022,9.2887,9.1655,3.1963,3.3410
